id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_balita_stunting,satuan,tahun,jumlah_ibu_hamil_kek_kunjungan,BALITA GIZI KURANG,BALITA KURUS,BALITA PENDEK,status_pencemaran_air,status_pencemaran_tanah,status_pencemaran_udara
202,32,JAWA BARAT,3213,KABUPATEN SUBANG,2088,ORANG,2021,812,2390,1980,1546,20,8,29
203,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,3709,ORANG,2021,562,1228,2211,2505,15,9,44
204,32,JAWA BARAT,3215,KABUPATEN KARAWANG,3715,ORANG,2021,919,2914,4174,4216,54,25,51
205,32,JAWA BARAT,3216,KABUPATEN BEKASI,8755,ORANG,2021,597,7548,7708,9354,45,31,52
206,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,12488,ORANG,2021,636,5164,6891,6891,21,10,24
207,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,999,ORANG,2021,192,347,904,803,13,7,7
208,32,JAWA BARAT,3271,KOTA BOGOR,3950,ORANG,2021,,2824,3465,3875,,,
209,32,JAWA BARAT,3272,KOTA SUKABUMI,1180,ORANG,2021,,621,1206,996,,,
210,32,JAWA BARAT,3273,KOTA BANDUNG,6312,ORANG,2021,,3941,5612,7568,,,
211,32,JAWA BARAT,3274,KOTA CIREBON,2411,ORANG,2021,,1108,2399,2359,,,
212,32,JAWA BARAT,3275,KOTA BEKASI,9820,ORANG,2021,,7343,7663,9832,,,
213,32,JAWA BARAT,3276,KOTA DEPOK,3726,ORANG,2021,,2397,4639,3675,,,
214,32,JAWA BARAT,3277,KOTA CIMAHI,3161,ORANG,2021,,1221,2199,3261,,,
215,32,JAWA BARAT,3278,KOTA TASIKMALAYA,6194,ORANG,2021,,2477,4452,6243,,,
216,32,JAWA BARAT,3279,KOTA BANJAR,929,ORANG,2021,78,727,1060,976,1,,1
