index,SAYUR-SAYURAN,UMBI-UMBIAN,IKAN,TELUR,SUSU,PADI PADIAN,DAGING,KONSUMSI
158,15552,1872,16885,4832,7398,14647,15297,high_consumption
159,16248,2025,20009,5411,8745,15385,15019,high_consumption
160,12721,1873,11434,4204,4255,15620,9166,middle_comsumption
161,9790,1562,11036,4987,1906,18657,7853,middle_comsumption
162,7522,1434,7624,3330,1703,16400,6107,middle_comsumption
163,7664,1722,6806,4467,3109,15378,7704,middle_comsumption
164,6869,1428,6637,3957,2167,17943,7294,middle_comsumption
165,8003,1512,8615,4705,1938,18082,7939,middle_comsumption
166,10309,2297,8726,4200,3784,19068,7670,middle_comsumption
167,9593,1467,6041,4067,2965,14647,7955,middle_comsumption
168,9185,1099,6072,3676,3627,15164,6484,middle_comsumption
169,8113,1080,4663,3776,2723,14153,6781,middle_comsumption
170,8831,1611,6977,4758,3991,18280,8097,middle_comsumption
171,11696,565,9305,4665,3093,17536,6499,middle_comsumption
172,9790,1227,9693,4821,3414,16217,7042,middle_comsumption
173,10825,1353,10464,4387,3482,14418,8033,middle_comsumption
174,11702,878,9529,3837,3276,16513,5878,middle_comsumption
175,15250,1739,14195,4499,5905,16663,10304,high_consumption
176,9906,2307,8735,4559,2382,17265,9086,middle_comsumption
177,11970,2065,13405,3670,2230,18789,8774,middle_comsumption
178,12757,1985,13183,5226,6339,15999,11389,high_consumption
179,9009,1413,9828,5652,5159,15928,12630,high_consumption
180,12234,2243,12012,5877,7003,15509,16493,high_consumption
181,9691,1528,9221,4290,4011,13868,9217,middle_comsumption
182,21088,2996,24259,6123,10504,16054,20209,high_consumption
183,17768,2984,19945,5612,11213,16954,18234,high_consumption
184,12903,1815,11010,5011,7410,15839,13269,high_consumption
185,8177,1574,7654,4054,4695,17047,8729,middle_comsumption
186,9872,2648,8469,3827,4250,16173,8431,middle_comsumption
187,11220,926,5528,3356,2215,14858,5327,middle_comsumption
188,12335,1468,5785,3291,3460,12166,7076,middle_comsumption
189,9970,1066,3426,2937,3289,12699,4451,middle_comsumption
190,8549,1048,5316,3225,2462,11309,5457,middle_comsumption
191,10650,961,4527,3437,3492,11399,5656,middle_comsumption
192,10226,961,4715,2996,3492,11730,5074,middle_comsumption
193,8312,1494,4777,3462,3028,12398,6457,middle_comsumption
194,9507,1069,3438,2962,3379,12031,6877,middle_comsumption
195,9309,976,4070,3496,4183,11401,5454,middle_comsumption
196,10697,1066,4921,3849,4263,13243,6608,middle_comsumption
197,10458,1280,5888,3656,4578,13943,6383,middle_comsumption
198,11635,1346,4377,4091,2692,11805,7101,middle_comsumption
199,10919,1385,5069,3588,4178,13250,6577,middle_comsumption
200,12129,1422,6428,4035,3342,14161,6297,middle_comsumption
201,10268,973,5025,3274,3072,14123,4357,middle_comsumption
202,9678,636,4213,2811,2647,12368,4881,middle_comsumption
203,10556,610,8389,3549,2072,14348,5353,middle_comsumption
204,11425,1246,14260,3440,3442,13390,5833,middle_comsumption
205,10475,1252,11094,3372,5265,11585,7091,high_consumption
206,9768,1159,11898,3495,3003,13975,5675,middle_comsumption
207,11609,1307,10990,3796,3443,15716,6638,middle_comsumption
208,11543,1469,5336,4205,4138,12998,7481,middle_comsumption
209,8838,1109,3429,3186,2910,11747,6920,middle_comsumption
210,11283,1119,7492,3533,4271,13086,5551,middle_comsumption
211,9658,1013,8161,3108,2208,13136,5259,middle_comsumption
212,8572,899,6979,3511,3120,13673,5459,middle_comsumption
213,8928,808,5337,3076,2663,13121,5168,middle_comsumption
214,9705,765,3970,3004,3451,12801,4008,middle_comsumption
215,8081,682,4423,3296,2688,13066,4101,middle_comsumption
216,13166,1477,6553,4746,7400,13736,10524,high_consumption
217,13177,1499,7507,4863,7330,14383,9012,high_consumption
218,12997,1598,9370,4952,10410,14390,13632,high_consumption
219,14930,1741,12464,5378,7378,14240,11081,high_consumption
220,10467,564,7930,4136,4260,14188,7609,middle_comsumption
221,8636,932,6804,3627,4092,12739,5588,middle_comsumption
222,9199,1415,4576,3559,3627,13813,6191,middle_comsumption
223,10568,1234,4719,5124,6801,12466,7906,high_consumption
224,11339,1096,4953,3793,2416,15893,6307,middle_comsumption
225,13046,2216,7874,5211,6632,13197,9386,high_consumption
226,10855,1592,8454,4229,6133,11126,10766,high_consumption
227,10337,1310,3935,3264,2348,12167,4577,middle_comsumption
228,10643,1509,4158,3024,2592,13153,4730,middle_comsumption
229,10361,953,7054,2914,2603,14078,4231,middle_comsumption
230,14289,2089,10647,5058,6319,16581,9456,high_consumption
231,10365,898,3879,2567,3276,11698,3135,middle_comsumption
232,11793,1675,4759,3817,4228,13944,6806,middle_comsumption
233,10015,1266,5449,3214,3850,14425,5600,middle_comsumption
234,10707,1985,11347,3756,2493,19123,8094,middle_comsumption
235,10288,1278,6782,3198,1367,18055,5517,middle_comsumption
236,11994,954,7623,3194,3110,16109,4731,middle_comsumption
237,7825,900,6563,2522,1815,19461,4969,middle_comsumption
238,7968,824,8760,3066,2108,14941,4799,middle_comsumption
239,6598,983,7621,2508,2662,17053,4062,middle_comsumption
240,9568,1383,8995,3421,3065,16476,5482,middle_comsumption
241,12402,1801,14571,4392,7134,15402,12093,high_consumption
242,11128,1637,9856,3653,4349,15855,8108,middle_comsumption
243,9894,1352,6991,3207,4890,14065,6781,middle_comsumption
244,10720,1043,4236,3001,3300,14784,4891,middle_comsumption
245,9884,1100,4548,3342,2828,11304,5149,middle_comsumption
246,11351,1539,4878,3487,4065,13772,6098,middle_comsumption
247,9643,1346,4808,2956,2196,12622,4058,middle_comsumption
248,9478,869,6541,2916,3141,14763,6063,middle_comsumption
249,11033,1101,11862,3105,2632,16329,7334,middle_comsumption
250,10732,1233,14019,3557,3034,14701,6566,middle_comsumption
251,10836,1276,13525,3698,5136,16006,8781,high_consumption
252,8615,1533,12019,2895,1138,16407,5516,middle_comsumption
253,7191,679,11770,2329,1266,17965,4403,middle_comsumption
254,6328,745,9651,2647,1920,15269,4553,middle_comsumption
255,12793,2796,22207,5820,4061,19382,11781,high_consumption
256,11355,1662,6340,3825,5164,13445,7918,high_consumption
257,11064,917,5673,3290,6511,11429,6662,high_consumption
258,14788,2483,11818,4989,5885,14972,13583,high_consumption
259,7296,1268,11415,3206,4731,15724,5939,middle_comsumption
260,9183,1006,11882,3622,7886,14914,7397,high_consumption
261,10500,1395,11993,3764,7010,14434,10004,high_consumption
262,13695,1812,9289,5074,10611,13265,10562,high_consumption
263,13259,2068,15640,4801,8600,14488,12790,high_consumption
264,11713,2084,7106,3629,5574,14218,8170,high_consumption
265,8608,994,9757,3083,1514,17728,4888,middle_comsumption
266,11320,2061,12876,4936,1759,19381,8376,middle_comsumption
267,14560,2313,15066,4410,4940,16285,9871,high_consumption
268,11972,1275,12954,3421,2617,16021,6748,middle_comsumption
269,19786,2817,21211,5440,9652,16802,17521,high_consumption
270,12446,1334,15179,3835,4990,14289,9084,high_consumption
271,12154,1213,11381,4184,3245,15506,8745,middle_comsumption
272,17247,2756,18776,4945,6448,14403,14692,high_consumption
273,11906,969,8696,3004,2533,18694,6797,middle_comsumption
274,11205,1506,6123,3481,3796,18296,7954,middle_comsumption
275,12852,1678,9421,3535,4469,19937,11864,middle_comsumption
276,13244,927,5909,3039,4710,20050,8978,middle_comsumption
277,12495,1332,7702,3578,4771,22787,7879,middle_comsumption
278,13086,1584,6386,3324,3487,19863,9806,middle_comsumption
279,9064,979,4848,2327,2245,21198,5727,middle_comsumption
280,11146,1622,7235,2892,1554,22444,9398,middle_comsumption
281,14072,1872,10708,4083,5813,18452,13507,high_consumption
282,12158,1005,11327,3233,2216,19000,7702,middle_comsumption
283,14549,771,9006,3127,1350,16859,6321,middle_comsumption
284,16383,1608,13894,4549,1802,19493,9424,middle_comsumption
285,10311,1376,18909,3541,2745,20439,10045,middle_comsumption
286,9468,660,15124,2553,1543,20757,6578,middle_comsumption
287,8060,575,15147,2600,1856,18006,4742,middle_comsumption
288,13414,1481,27793,3990,4094,21309,11304,high_consumption
289,14738,1972,15239,3650,1483,21998,8238,middle_comsumption
290,11778,1532,16232,4647,4490,17903,11962,high_consumption
291,8639,1128,17658,3674,5001,18228,6781,high_consumption
292,9986,1265,7296,2143,1793,25165,11732,middle_comsumption
293,12595,574,12579,2561,2120,28005,9809,middle_comsumption
294,10776,808,8078,2118,1496,27067,6906,middle_comsumption
295,12463,1356,4475,2267,2265,23128,13341,middle_comsumption
296,12058,909,6358,2282,2370,27628,6694,middle_comsumption
297,11227,1601,8915,2624,1908,22616,10034,middle_comsumption
298,12685,1697,11235,1743,2019,21901,3339,middle_comsumption
299,9596,1648,12166,1957,1851,22806,1424,middle_comsumption
300,9543,1415,12783,2616,1913,29805,3098,middle_comsumption
301,9367,1774,11312,1905,2007,22662,3405,middle_comsumption
302,14581,4096,13378,2562,2728,27215,5162,middle_comsumption
303,14293,2843,13947,2809,2262,24486,8739,middle_comsumption
304,12860,2025,9520,2211,3156,26628,6678,middle_comsumption
305,8251,137,11291,1529,1867,18484,2717,middle_comsumption
306,11780,1346,11299,2345,3507,28109,4762,middle_comsumption
307,11045,1093,7542,2259,1565,27017,7425,middle_comsumption
308,9694,1050,7461,1953,1651,26760,12629,middle_comsumption
309,9382,1792,8726,2024,1737,20984,4961,middle_comsumption
310,9068,2089,8920,1688,1966,31839,2807,middle_comsumption
311,13852,582,15628,2668,3236,33888,9497,middle_comsumption
312,10431,1156,7460,2241,1290,30002,7612,middle_comsumption
313,15351,1237,11772,4076,4389,21593,9352,middle_comsumption
314,8670,716,14806,3546,2755,14393,3671,middle_comsumption
315,14250,1274,19870,4551,4021,20676,11477,middle_comsumption
316,15401,1183,19353,3905,3859,21284,11073,middle_comsumption
317,8970,860,16594,3538,2960,16354,5210,middle_comsumption
318,14391,960,17343,4477,3654,18829,11819,middle_comsumption
319,15169,1298,22319,4427,2956,17959,8434,middle_comsumption
320,16410,1438,20104,4360,3320,23243,12711,middle_comsumption
321,15568,2464,17224,4896,2485,22390,11371,middle_comsumption
322,14213,1149,20706,4345,2451,22601,11907,middle_comsumption
323,15852,1521,20007,4135,4086,21466,13310,middle_comsumption
324,14151,1317,20181,4003,4078,18377,5916,middle_comsumption
325,9423,1022,15549,4055,3974,15993,4909,middle_comsumption
326,13072,1836,23602,5143,6629,15400,10964,high_consumption
327,11166,1611,22625,4764,5553,15208,11172,high_consumption
328,18855,2144,22336,5398,5732,22566,13554,high_consumption
329,16061,1844,22047,5148,5622,19773,10406,high_consumption
330,11722,1353,20279,4161,2736,19803,8397,middle_comsumption
331,14649,1848,23185,5323,3830,23685,10261,middle_comsumption
332,12918,1570,16893,4551,5222,17690,11015,high_consumption
333,20157,2306,29220,6164,6679,21354,15316,high_consumption
334,23247,2733,30226,7083,11101,23788,22448,high_consumption
335,19615,2310,21291,6401,4985,24722,12866,high_consumption
336,17604,1559,26412,4058,5249,22513,11207,high_consumption
337,14873,1266,17569,4623,3798,20271,9470,middle_comsumption
338,16254,1435,25621,4631,4870,18586,14771,high_consumption
339,11307,1304,18495,4847,5238,21754,10796,high_consumption
340,14191,1227,20129,5120,3216,22298,12655,middle_comsumption
